cost,approximation_ratio,variance,gradients
0.0,-0.0,,"[ 0.00000000e+00 -2.64349870e-34  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -6.53816753e-34  0.00000000e+00  0.00000000e+00
  1.12154152e-33  0.00000000e+00 -5.00000000e-01  0.00000000e+00
  0.00000000e+00 -5.00000000e-01  0.00000000e+00]"
-0.47942553860420256,0.47942553860420256,,"[ 1.38777878e-17 -4.51028104e-17  0.00000000e+00  4.16333634e-17
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.46944695e-17
  0.00000000e+00  0.00000000e+00 -4.38791281e-01  0.00000000e+00
  0.00000000e+00 -4.38791281e-01  0.00000000e+00]"
-0.8068446226327172,0.8068446226327172,,"[ 3.46944695e-17 -1.04083409e-17  0.00000000e+00  4.16333634e-17
  0.00000000e+00  0.00000000e+00  5.55111512e-17 -5.89805982e-17
  0.00000000e+00  0.00000000e+00 -2.95381852e-01  0.00000000e+00
  6.24500451e-17 -2.95381852e-01  0.00000000e+00]"
-0.9438754097611715,0.9438754097611715,,"[ 5.55111512e-17  2.08166817e-17  2.77555756e-17  4.85722573e-17
  0.00000000e+00  0.00000000e+00  4.85722573e-17 -3.46944695e-17
  0.00000000e+00  0.00000000e+00 -1.65150848e-01 -2.77555756e-17
  6.93889390e-17 -1.65150848e-01  0.00000000e+00]"
-0.9853346039238694,0.9853346039238694,,"[ 4.16333634e-17  6.93889390e-18  2.77555756e-17  4.16333634e-17
  0.00000000e+00  0.00000000e+00  5.55111512e-17 -6.93889390e-18
  0.00000000e+00  0.00000000e+00 -8.53166430e-02 -2.77555756e-17
  5.55111512e-17 -8.53166430e-02  0.00000000e+00]"
-0.9962908926847761,0.9962908926847761,,"[ 1.38777878e-17 -1.38777878e-17  2.77555756e-17  1.38777878e-17
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.38777878e-17
  0.00000000e+00  0.00000000e+00 -4.30245777e-02 -2.77555756e-17
  0.00000000e+00 -4.30245777e-02  0.00000000e+00]"
-0.9990699972433961,0.9990699972433961,,"[ 2.77555756e-17  0.00000000e+00  2.77555756e-17  1.38777878e-17
  0.00000000e+00  5.55111512e-17  0.00000000e+00 -2.77555756e-17
  0.00000000e+00  0.00000000e+00 -2.15588764e-02 -2.77555756e-17
  0.00000000e+00 -2.15588764e-02  0.00000000e+00]"
-0.9997673280829623,0.9997673280829623,,"[ 4.16333634e-17  0.00000000e+00  0.00000000e+00  5.55111512e-17
  0.00000000e+00  0.00000000e+00  5.55111512e-17  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.07852874e-02  0.00000000e+00
  5.55111512e-17 -1.07852874e-02  0.00000000e+00]"
-0.9999418213055142,0.9999418213055142,,"[ 4.16333634e-17 -1.38777878e-17  0.00000000e+00  4.16333634e-17
  0.00000000e+00  0.00000000e+00  5.55111512e-17 -1.38777878e-17
  0.00000000e+00  0.00000000e+00 -5.39337566e-03  0.00000000e+00
  5.55111512e-17 -5.39337566e-03  0.00000000e+00]"
-0.9999854546564635,0.9999854546564635,,"[ 0.00000000e+00 -2.77555756e-17  0.00000000e+00  1.38777878e-17
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.77555756e-17
  0.00000000e+00  0.00000000e+00 -2.69677935e-03  0.00000000e+00
  0.00000000e+00 -2.69677935e-03  0.00000000e+00]"
